,0
0,Alaska
1,Arizona
2,Arkansas
3,Colorado
4,Connecticut
5,Delaware
6,Georgia
7,Hawaii
8,Idaho
9,Indiana
10,Iowa
11,Kansas
12,Kentucky
13,Louisiana
14,Maine
15,Maryland
16,Massachusetts
17,Michigan
18,Minnesota
19,Mississippi
20,Missouri
21,Montana
22,Nebraska
23,New Hampshire
24,New Jersey
25,New Mexico
26,North Carolina
27,Ohio
28,Oklahoma
29,Pennsylvania
30,Rhode Island
31,South Carolina
32,Tennessee
33,Texas
34,Utah
35,Vermont
36,Virginia
37,West Virginia
38,Wisconsin
39,Wyoming
